Date,Open,High,Low,Close,Volume,Market Cap
"Jan 09, 2017",0.13263,0.13367,0.117667,0.123767,90000,6631500
"Jan 08, 2017",0.128325,0.134773,0.127755,0.132609,69033,6416250
"Jan 07, 2017",0.135505,0.135759,0.125106,0.131104,53818,6775250
"Jan 06, 2017",0.131087,0.139018,0.131087,0.135472,54666,6554350
"Jan 05, 2017",0.136797,0.143977,0.126582,0.13107,206224,6839850
"Jan 04, 2017",0.140294,0.142834,0.134433,0.136734,94045,7014700
"Jan 03, 2017",0.145645,0.147282,0.139653,0.140422,90544,7282250
"Jan 02, 2017",0.141841,0.147746,0.141841,0.145642,75921,7092050
"Jan 01, 2017",0.144763,0.147274,0.139742,0.141841,63512,7238150
"Dec 31, 2016",0.147526,0.148837,0.142705,0.144763,61000,7376300
"Dec 30, 2016",0.143599,0.14807,0.136893,0.147527,69464,7179950
"Dec 29, 2016",0.150688,0.151915,0.140106,0.14095,100992,7534400
"Dec 28, 2016",0.158032,0.162041,0.14599,0.150689,118030,7901600
"Dec 27, 2016",0.1666,0.177395,0.153932,0.158032,265268,8330000
"Dec 26, 2016",0.146785,0.182563,0.141148,0.166597,579250,7339250
"Dec 25, 2016",0.144213,0.153788,0.141296,0.146788,239670,7210650
"Dec 24, 2016",0.139545,0.151804,0.136822,0.146916,132934,6977250
"Dec 23, 2016",0.155059,0.157925,0.131227,0.137593,187645,7752950
"Dec 22, 2016",0.166441,0.184986,0.147481,0.155065,544880,8322050
"Dec 21, 2016",0.120868,0.168983,0.118599,0.167117,635204,6043400
"Dec 20, 2016",0.121536,0.124127,0.115108,0.120868,73913,6076800
"Dec 19, 2016",0.11526,0.121812,0.106848,0.121387,55326,5763000
"Dec 18, 2016",0.105842,0.117273,0.101063,0.11526,37746,5292100
"Dec 17, 2016",0.114445,0.115568,0.10174,0.105842,62650,5722250
"Dec 16, 2016",0.109869,0.118707,0.109327,0.114432,49515,5493450
"Dec 15, 2016",0.121012,0.123902,0.109819,0.109837,38086,6050600
"Dec 14, 2016",0.12793,0.12793,0.120364,0.121008,50948,6396500
"Dec 13, 2016",0.133035,0.136888,0.125618,0.127959,30845,6651750
"Dec 12, 2016",0.122082,0.140238,0.122082,0.129977,57019,6104100
"Dec 11, 2016",0.125352,0.128221,0.12073,0.122134,41967,6267600
"Dec 10, 2016",0.130952,0.132206,0.12477,0.125328,37027,6547600
"Dec 09, 2016",0.134409,0.136923,0.129699,0.13007,54783,6720450
"Dec 08, 2016",0.137448,0.138971,0.134429,0.134429,31065,6872400
"Dec 07, 2016",0.136196,0.142794,0.134726,0.13745,51152,6809800
"Dec 06, 2016",0.13896,0.14181,0.135703,0.136097,54376,6948000
"Dec 05, 2016",0.14727,0.14727,0.138194,0.141459,71656,7363500
"Dec 04, 2016",0.142444,0.157052,0.142444,0.14717,109462,7122200
"Dec 03, 2016",0.141987,0.144054,0.136455,0.142444,121437,7099350
"Dec 02, 2016",0.140119,0.145737,0.138452,0.141991,69742,7005950
"Dec 01, 2016",0.144522,0.144846,0.138559,0.140114,62769,7226100
"Nov 30, 2016",0.149963,0.150848,0.140499,0.144636,63418,7498150
"Nov 29, 2016",0.167861,0.167909,0.141612,0.149953,121979,8393050
"Nov 28, 2016",0.173073,0.175046,0.166608,0.167994,92873,8653650
"Nov 27, 2016",0.174134,0.179557,0.173007,0.17305,34618,8706700
"Nov 26, 2016",0.174608,0.185637,0.173892,0.174141,53456,8730400
"Nov 25, 2016",0.171903,0.191663,0.171885,0.174514,148809,8595150
"Nov 24, 2016",0.167006,0.186579,0.165703,0.171955,252878,8350300
"Nov 23, 2016",0.168883,0.172495,0.16694,0.167085,18866,8444150
"Nov 22, 2016",0.173474,0.17422,0.167397,0.168892,30457,8673700
"Nov 21, 2016",0.171,0.174966,0.169408,0.173476,13977,8550000
"Nov 20, 2016",0.169929,0.171309,0.161549,0.170999,6888,8496450
"Nov 19, 2016",0.172135,0.17649,0.168427,0.169928,20977,8606750
"Nov 18, 2016",0.173267,0.196769,0.16942,0.172177,170258,8663350
"Nov 17, 2016",0.162654,0.177109,0.16256,0.17328,115600,8132700
"Nov 16, 2016",0.173875,0.177754,0.153992,0.162529,52767,8693750
"Nov 15, 2016",0.183863,0.183864,0.172835,0.173875,58217,9193150
"Nov 14, 2016",0.170347,0.196291,0.168508,0.183786,161342,8517350
"Nov 13, 2016",0.168699,0.172853,0.163703,0.169917,47661,8434950
"Nov 12, 2016",0.172603,0.179612,0.166288,0.168695,38920,8630150
"Nov 11, 2016",0.168293,0.181036,0.165815,0.176226,92296,8414650
"Nov 10, 2016",0.159342,0.179854,0.154536,0.168272,226859,7967100
"Nov 09, 2016",0.161599,0.166946,0.156541,0.159859,51101,8079950
"Nov 08, 2016",0.173073,0.173376,0.160523,0.161594,64487,8653650
"Nov 07, 2016",0.163957,0.174019,0.143322,0.173087,264007,8197850
"Nov 06, 2016",0.1608,0.16817,0.15675,0.164002,52679,8040000
"Nov 05, 2016",0.175934,0.181375,0.156657,0.160797,165265,8796700
"Nov 04, 2016",0.173574,0.183584,0.168351,0.175917,123337,8678700
"Nov 03, 2016",0.197962,0.19817,0.155788,0.173534,265799,9898100
"Nov 02, 2016",0.214646,0.219169,0.191732,0.197941,242163,10732300
"Nov 01, 2016",0.228232,0.239149,0.204285,0.211322,411699,11411600
"Oct 31, 2016",0.18161,0.229291,0.177568,0.228251,917488,9080500
"Oct 30, 2016",0.172946,0.18382,0.170264,0.181026,377793,8647300
"Oct 29, 2016",0.151237,0.176248,0.151237,0.170166,714101,7561850
"Oct 28, 2016",0.127447,0.159842,0.12378,0.151552,545958,6372350
"Oct 27, 2016",0.129608,0.140409,0.124055,0.127426,169528,6480400
"Oct 26, 2016",0.1357,0.16963,0.121312,0.129615,494772,6785000
"Oct 25, 2016",0.093621,0.322439,0.092699,0.135712,365986,-
"Oct 24, 2016",0.081,0.100103,0.076476,0.093762,522611,-
"Oct 23, 2016",0.081487,0.085211,0.076681,0.082726,107073,-
"Oct 22, 2016",0.080197,0.096001,0.080013,0.081484,293121,-
"Oct 21, 2016",0.092487,0.093918,0.072287,0.080181,269793,-
"Oct 20, 2016",0.117083,0.117172,0.085342,0.092682,286750,-
"Oct 19, 2016",0.197446,0.205554,0.111325,0.117084,228476,-
"Oct 18, 2016",0.192736,0.289527,0.179325,0.19744,406917,-
"Oct 17, 2016",0.175871,0.192747,0.175284,0.192747,12989,-
"Oct 16, 2016",0.179883,0.19069,0.175885,0.175901,16019,-
"Oct 15, 2016",0.191007,0.191007,0.179885,0.179885,596,-
"Oct 14, 2016",0.1854,0.19109,0.176211,0.191014,2335,-
"Oct 13, 2016",0.186072,0.186072,0.175498,0.185407,1318,-
"Oct 12, 2016",0.193611,0.193611,0.175684,0.186052,12201,-
"Oct 11, 2016",0.193114,0.195352,0.181615,0.193575,5949,-
"Oct 10, 2016",0.186466,0.202517,0.180081,0.193108,11204,-
"Oct 09, 2016",0.205045,0.205045,0.178857,0.186541,30052,-
"Oct 08, 2016",0.202812,0.223037,0.185864,0.205229,31830,-
"Oct 07, 2016",0.179898,0.20284,0.179898,0.20284,5785,-
"Oct 06, 2016",0.289361,0.291334,0.180059,0.180059,2612,-
"Oct 05, 2016",0.185765,0.289548,0.179917,0.289392,1864,-
"Oct 04, 2016",0.178659,0.185843,0.178659,0.185843,506,-
